id,alt,x1,x2,x3,s1,s2,e1,e2,o1,dist,LC,utility,match,flag
1,0,10.0,5.0,2.0,s11,s21,e11,e22,o11,3.45,2,-2.4894699505063134,1,ts
1,1,5.0,16.0,2.0,s11,s21,e11,e22,o11,3.45,2,-2.800024306281961,0,ts
2,0,36.0,4.0,1.5,s12,s21,e13,e22,o13,15.67,1,-5.11469999982157,0,tr
2,1,23.0,16.0,4.25,s12,s21,e13,e22,o13,15.67,1,-4.7603329352139045,1,tr
3,0,20.0,6.0,1.5,s11,s21,e11,e21,o11,10.46,3,-2.7973866111616585,0,tr
3,1,16.0,16.0,3.5,s11,s21,e11,e21,o11,10.46,3,-2.3764305299678545,1,tr
4,0,9.0,7.0,1.5,s11,s21,e12,e22,o13,3.57,3,-2.261922555944467,0,tr
4,1,6.0,13.0,2.0,s11,s21,e12,e22,o13,3.57,3,-1.7919497950978671,1,tr
5,0,10.0,4.0,1.5,s11,s22,e11,e22,o13,4.76,2,-1.9917089410054487,1,tr
5,1,8.0,16.0,2.0,s11,s22,e11,e22,o13,4.76,2,-3.074004731619043,0,tr
6,0,5.0,5.0,1.5,s11,s21,e12,e22,o11,4.28,2,-1.5810531306204028,1,tr
6,1,6.0,16.0,2.0,s11,s21,e12,e22,o11,4.28,2,-3.86939752965265,0,tr
7,0,5.0,5.0,2.0,s11,s21,e11,e22,o13,2.61,1,-1.3194965946997337,0,tr
7,1,4.0,13.0,2.0,s11,s21,e11,e22,o13,2.61,1,-0.6677414360987074,1,tr
8,0,11.0,3.0,2.0,s11,s21,e11,e22,o13,5.03,3,-1.565395198568272,1,tr
8,1,8.0,17.0,2.75,s11,s21,e11,e22,o13,5.03,3,-1.5767517225273442,0,tr
9,0,13.0,4.0,1.5,s12,s21,e12,e21,o13,5.55,1,-2.4528645049535935,1,tr
9,1,9.0,18.0,2.75,s12,s21,e12,e21,o13,5.55,1,-2.9979684637218837,0,tr
10,0,11.0,4.0,1.5,s12,s21,e13,e22,o11,4.44,1,-1.8083575589882193,1,tr
10,1,7.0,16.0,2.0,s12,s21,e13,e22,o11,4.44,1,-2.8193879384008644,0,tr
11,0,8.0,5.0,1.5,s13,s23,e12,e22,o14,4.7,3,-1.4821180147305582,1,tr
11,1,7.0,15.0,2.0,s13,s23,e12,e22,o14,4.7,3,-1.9863850866310153,0,tr
12,0,10.0,3.0,2.0,s12,s22,e11,e22,o12,3.48,1,-1.9232553841532727,0,tr
12,1,5.0,13.0,2.0,s12,s22,e11,e22,o12,3.48,1,-0.6489839204842934,1,tr
